"","workclass","education","marital_status","occupation","race","sex","native_region","income","age","hours_per_week","investment_status"
"1","self_emp","bachelors","never_married","office","White","Male","north_america","<=50K",39,40,"investor"
"2","self_emp","bachelors","married","office","White","Male","north_america","<=50K",50,13,"no_investment"
"3","not_working","hs_grad","not_married","services","White","Male","north_america","<=50K",38,40,"no_investment"
"4","not_working","some_hs","married","services","Black","Male","north_america","<=50K",53,40,"no_investment"
"5","not_working","bachelors","married","office","Black","Female","south_america","<=50K",28,40,"no_investment"
"6","not_working","graduate_deg","married","office","White","Female","north_america","<=50K",37,40,"no_investment"
"7","not_working","some_hs","married","services","Black","Female","south_america","<=50K",49,16,"no_investment"
"8","self_emp","hs_grad","married","office","White","Male","north_america",">50K",52,45,"no_investment"
"9","not_working","graduate_deg","never_married","office","White","Female","north_america",">50K",31,50,"investor"
"10","not_working","bachelors","married","office","White","Male","north_america",">50K",42,40,"investor"
"11","not_working","hs_grad","married","office","Black","Male","north_america",">50K",37,80,"no_investment"
"12","self_emp","bachelors","married","office","Asian-Pac-Islander","Male","asia_and_pacific",">50K",30,40,"no_investment"
"13","not_working","bachelors","never_married","office","White","Female","north_america","<=50K",23,30,"no_investment"
"14","not_working","associates","never_married","office","Black","Male","north_america","<=50K",32,50,"no_investment"
"15","not_working","associates","married","labor","Asian-Pac-Islander","Male","north_america",">50K",40,40,"no_investment"
"16","not_working","no_hs","married","labor","Amer-Indian-Eskimo","Male","south_america","<=50K",34,45,"no_investment"
"17","self_emp","hs_grad","never_married","labor","White","Male","north_america","<=50K",25,35,"no_investment"
"18","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",32,40,"no_investment"
"19","not_working","some_hs","married","office","White","Male","north_america","<=50K",38,50,"no_investment"
"20","self_emp","graduate_deg","not_married","office","White","Female","north_america",">50K",43,45,"no_investment"
"21","not_working","graduate_deg","married","office","White","Male","north_america",">50K",40,60,"no_investment"
"22","not_working","hs_grad","not_married","services","Black","Female","north_america","<=50K",54,20,"no_investment"
